"id","first_name","last_name","date_of_migration","migration_type","from_region","to_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1,"A","A",2018-11-05,"Out","No","",1,4,2018-08-17,2018-08-17,"user_1","user_1"
2,"B","B",2019-07-23,"In","","Yes",2,3,2019-02-13,2019-02-13,"user_1","user_1"
3,"C","C",2020-04-08,"Out","No","",3,3,2019-08-12,2019-08-12,"user_1","user_1"
4,"D","D",2020-12-24,"In","","Yes",4,5,2020-02-08,2020-02-08,"user_1","user_1"
5,"E","E",2021-09-10,"Out","No","",5,3,2020-08-06,2020-08-06,"user_1","user_1"
6,"F","F",2018-11-05,"In","","Yes",6,6,2018-08-17,2018-08-17,"user_1","user_1"
7,"G","G",2019-07-23,"Out","No","",7,4,2019-02-13,2019-02-13,"user_1","user_1"
8,"H","H",2020-04-08,"In","","Yes",8,2,2019-08-12,2019-08-12,"user_1","user_1"
9,"I","I",2020-12-24,"Out","No","",9,1,2020-02-08,2020-02-08,"user_1","user_1"
10,"J","J",2021-09-10,"In","","Yes",10,3,2020-08-06,2020-08-06,"user_1","user_1"
11,"K","K",2018-11-05,"Out","No","",11,6,2018-08-17,2018-08-17,"user_1","user_1"
12,"L","L",2019-07-23,"In","","Yes",12,4,2019-02-13,2019-02-13,"user_1","user_1"
13,"M","M",2020-04-08,"Out","No","",13,2,2019-08-12,2019-08-12,"user_1","user_1"
14,"N","N",2020-12-24,"In","","Yes",14,3,2020-02-08,2020-02-08,"user_1","user_1"
15,"O","O",2021-09-10,"Out","No","",15,6,2020-08-06,2020-08-06,"user_1","user_1"
16,"P","P",2018-11-05,"In","","Yes",16,6,2018-08-17,2018-08-17,"user_1","user_1"
17,"Q","Q",2019-07-23,"Out","No","",17,6,2019-02-13,2019-02-13,"user_1","user_1"
18,"R","R",2020-04-08,"In","","Yes",18,5,2019-08-12,2019-08-12,"user_1","user_1"
19,"S","S",2020-12-24,"Out","No","",19,5,2020-02-08,2020-02-08,"user_1","user_1"
20,"T","T",2021-09-10,"In","","Yes",20,4,2020-08-06,2020-08-06,"user_1","user_1"
21,"A","A",2018-11-05,"Out","No","",21,3,2018-08-17,2018-08-17,"user_1","user_1"
22,"B","B",2019-07-23,"In","","Yes",22,6,2019-02-13,2019-02-13,"user_1","user_1"
23,"C","C",2020-04-08,"Out","No","",23,1,2019-08-12,2019-08-12,"user_1","user_1"
24,"D","D",2020-12-24,"In","","Yes",24,2,2020-02-08,2020-02-08,"user_1","user_1"
25,"E","E",2021-09-10,"Out","No","",25,4,2020-08-06,2020-08-06,"user_1","user_1"
26,"F","F",2018-11-05,"In","","Yes",26,6,2018-08-17,2018-08-17,"user_1","user_1"
27,"G","G",2019-07-23,"Out","No","",27,1,2019-02-13,2019-02-13,"user_1","user_1"
28,"H","H",2020-04-08,"In","","Yes",28,2,2019-08-12,2019-08-12,"user_1","user_1"
29,"I","I",2020-12-24,"Out","No","",29,2,2020-02-08,2020-02-08,"user_1","user_1"
30,"J","J",2021-09-10,"In","","Yes",30,3,2020-08-06,2020-08-06,"user_1","user_1"
31,"K","K",2018-11-05,"Out","No","",31,5,2018-08-17,2018-08-17,"user_1","user_1"
32,"L","L",2019-07-23,"In","","Yes",32,6,2019-02-13,2019-02-13,"user_1","user_1"
33,"M","M",2020-04-08,"Out","No","",33,5,2019-08-12,2019-08-12,"user_1","user_1"
34,"N","N",2020-12-24,"In","","Yes",34,5,2020-02-08,2020-02-08,"user_1","user_1"
35,"O","O",2021-09-10,"Out","No","",35,3,2020-08-06,2020-08-06,"user_1","user_1"
36,"P","P",2018-11-05,"In","","Yes",36,2,2018-08-17,2018-08-17,"user_1","user_1"
37,"Q","Q",2019-07-23,"Out","No","",37,6,2019-02-13,2019-02-13,"user_1","user_1"
38,"R","R",2020-04-08,"In","","Yes",38,2,2019-08-12,2019-08-12,"user_1","user_1"
39,"S","S",2020-12-24,"Out","No","",39,1,2020-02-08,2020-02-08,"user_1","user_1"
40,"T","T",2021-09-10,"In","","Yes",40,3,2020-08-06,2020-08-06,"user_1","user_1"
41,"A","A",2018-11-05,"Out","No","",41,6,2018-08-17,2018-08-17,"user_1","user_1"
42,"B","B",2019-07-23,"In","","Yes",42,2,2019-02-13,2019-02-13,"user_1","user_1"
43,"C","C",2020-04-08,"Out","No","",43,6,2019-08-12,2019-08-12,"user_1","user_1"
44,"D","D",2020-12-24,"In","","Yes",44,1,2020-02-08,2020-02-08,"user_1","user_1"
45,"E","E",2021-09-10,"Out","No","",45,1,2020-08-06,2020-08-06,"user_1","user_1"
46,"F","F",2018-11-05,"In","","Yes",46,5,2018-08-17,2018-08-17,"user_1","user_1"
47,"G","G",2019-07-23,"Out","No","",47,6,2019-02-13,2019-02-13,"user_1","user_1"
48,"H","H",2020-04-08,"In","","Yes",48,1,2019-08-12,2019-08-12,"user_1","user_1"
49,"I","I",2020-12-24,"Out","No","",49,6,2020-02-08,2020-02-08,"user_1","user_1"
50,"J","J",2021-09-10,"In","","Yes",50,5,2020-08-06,2020-08-06,"user_1","user_1"
51,"K","K",2018-11-05,"Out","No","",51,6,2018-08-17,2018-08-17,"user_1","user_1"
52,"L","L",2019-07-23,"In","","Yes",52,6,2019-02-13,2019-02-13,"user_1","user_1"
53,"M","M",2020-04-08,"Out","No","",53,5,2019-08-12,2019-08-12,"user_1","user_1"
54,"N","N",2020-12-24,"In","","Yes",54,4,2020-02-08,2020-02-08,"user_1","user_1"
55,"O","O",2021-09-10,"Out","No","",55,5,2020-08-06,2020-08-06,"user_1","user_1"
56,"P","P",2018-11-05,"In","","Yes",56,6,2018-08-17,2018-08-17,"user_1","user_1"
57,"Q","Q",2019-07-23,"Out","No","",57,5,2019-02-13,2019-02-13,"user_1","user_1"
58,"R","R",2020-04-08,"In","","Yes",58,1,2019-08-12,2019-08-12,"user_1","user_1"
59,"S","S",2020-12-24,"Out","No","",59,3,2020-02-08,2020-02-08,"user_1","user_1"
60,"T","T",2021-09-10,"In","","Yes",60,4,2020-08-06,2020-08-06,"user_1","user_1"
61,"A","A",2018-11-05,"Out","No","",61,2,2018-08-17,2018-08-17,"user_1","user_1"
62,"B","B",2019-07-23,"In","","Yes",62,6,2019-02-13,2019-02-13,"user_1","user_1"
63,"C","C",2020-04-08,"Out","No","",63,1,2019-08-12,2019-08-12,"user_1","user_1"
64,"D","D",2020-12-24,"In","","Yes",64,6,2020-02-08,2020-02-08,"user_1","user_1"
65,"E","E",2021-09-10,"Out","No","",65,5,2020-08-06,2020-08-06,"user_1","user_1"
66,"F","F",2018-11-05,"In","","Yes",66,2,2018-08-17,2018-08-17,"user_1","user_1"
67,"G","G",2019-07-23,"Out","No","",67,5,2019-02-13,2019-02-13,"user_1","user_1"
68,"H","H",2020-04-08,"In","","Yes",68,1,2019-08-12,2019-08-12,"user_1","user_1"
69,"I","I",2020-12-24,"Out","No","",69,3,2020-02-08,2020-02-08,"user_1","user_1"
70,"J","J",2021-09-10,"In","","Yes",70,2,2020-08-06,2020-08-06,"user_1","user_1"
71,"K","K",2018-11-05,"Out","No","",71,5,2018-08-17,2018-08-17,"user_1","user_1"
72,"L","L",2019-07-23,"In","","Yes",72,2,2019-02-13,2019-02-13,"user_1","user_1"
73,"M","M",2020-04-08,"Out","No","",73,5,2019-08-12,2019-08-12,"user_1","user_1"
74,"N","N",2020-12-24,"In","","Yes",74,6,2020-02-08,2020-02-08,"user_1","user_1"
75,"O","O",2021-09-10,"Out","No","",75,2,2020-08-06,2020-08-06,"user_1","user_1"
76,"P","P",2018-11-05,"In","","Yes",76,5,2018-08-17,2018-08-17,"user_1","user_1"
