"id","first_name","last_name","date_of_migration","migration_type","from_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1,"A","A","2018-11-05","In","yes",1,1,"2018-08-17","2018-08-17","user_1","user_1"
2,"B","B","2019-07-23","In","yes",2,2,"2019-02-13","2019-02-13","user_1","user_1"
3,"C","C","2020-04-08","In","yes",3,3,"2019-08-12","2019-08-12","user_1","user_1"
4,"D","D","2020-12-24","In","yes",4,4,"2020-02-08","2020-02-08","user_1","user_1"
5,"E","E","2021-09-10","In","yes",5,5,"2020-08-06","2020-08-06","user_1","user_1"
6,"F","F","2018-11-05","In","yes",6,1,"2018-08-17","2018-08-17","user_1","user_1"
7,"G","G","2019-07-23","In","yes",7,2,"2019-02-13","2019-02-13","user_1","user_1"
8,"H","H","2020-04-08","In","yes",8,3,"2019-08-12","2019-08-12","user_1","user_1"
9,"I","I","2020-12-24","In","yes",9,4,"2020-02-08","2020-02-08","user_1","user_1"
10,"J","J","2021-09-10","In","yes",10,5,"2020-08-06","2020-08-06","user_1","user_1"
11,"K","K","2018-11-05","In","yes",11,1,"2018-08-17","2018-08-17","user_1","user_1"
12,"L","L","2019-07-23","In","yes",12,2,"2019-02-13","2019-02-13","user_1","user_1"
13,"M","M","2020-04-08","In","yes",13,3,"2019-08-12","2019-08-12","user_1","user_1"
14,"N","N","2020-12-24","In","yes",14,4,"2020-02-08","2020-02-08","user_1","user_1"
15,"O","O","2021-09-10","In","yes",15,5,"2020-08-06","2020-08-06","user_1","user_1"
16,"P","P","2018-11-05","In","yes",16,1,"2018-08-17","2018-08-17","user_1","user_1"
17,"Q","Q","2019-07-23","In","yes",17,2,"2019-02-13","2019-02-13","user_1","user_1"
18,"R","R","2020-04-08","In","yes",18,3,"2019-08-12","2019-08-12","user_1","user_1"
19,"S","S","2020-12-24","In","yes",19,4,"2020-02-08","2020-02-08","user_1","user_1"
20,"T","T","2021-09-10","In","yes",20,5,"2020-08-06","2020-08-06","user_1","user_1"
21,"A","A","2018-11-05","In","yes",21,1,"2018-08-17","2018-08-17","user_1","user_1"
22,"B","B","2019-07-23","In","yes",22,2,"2019-02-13","2019-02-13","user_1","user_1"
23,"C","C","2020-04-08","In","yes",23,3,"2019-08-12","2019-08-12","user_1","user_1"
24,"D","D","2020-12-24","In","yes",24,4,"2020-02-08","2020-02-08","user_1","user_1"
25,"E","E","2021-09-10","In","yes",25,5,"2020-08-06","2020-08-06","user_1","user_1"
26,"F","F","2018-11-05","In","yes",26,1,"2018-08-17","2018-08-17","user_1","user_1"
27,"G","G","2019-07-23","In","yes",27,2,"2019-02-13","2019-02-13","user_1","user_1"
28,"H","H","2020-04-08","In","yes",28,3,"2019-08-12","2019-08-12","user_1","user_1"
29,"I","I","2020-12-24","In","yes",29,4,"2020-02-08","2020-02-08","user_1","user_1"
30,"J","J","2021-09-10","In","yes",30,5,"2020-08-06","2020-08-06","user_1","user_1"
31,"K","K","2018-11-05","In","yes",31,1,"2018-08-17","2018-08-17","user_1","user_1"
32,"L","L","2019-07-23","In","yes",32,2,"2019-02-13","2019-02-13","user_1","user_1"
33,"M","M","2020-04-08","In","yes",33,3,"2019-08-12","2019-08-12","user_1","user_1"
34,"N","N","2020-12-24","In","yes",34,4,"2020-02-08","2020-02-08","user_1","user_1"
35,"O","O","2021-09-10","In","yes",35,5,"2020-08-06","2020-08-06","user_1","user_1"
36,"P","P","2018-11-05","In","yes",36,1,"2018-08-17","2018-08-17","user_1","user_1"
37,"Q","Q","2019-07-23","In","yes",37,2,"2019-02-13","2019-02-13","user_1","user_1"
38,"R","R","2020-04-08","In","yes",38,3,"2019-08-12","2019-08-12","user_1","user_1"
39,"S","S","2020-12-24","In","yes",39,4,"2020-02-08","2020-02-08","user_1","user_1"
40,"T","T","2021-09-10","In","yes",40,5,"2020-08-06","2020-08-06","user_1","user_1"
41,"A","A","2018-11-05","In","yes",41,1,"2018-08-17","2018-08-17","user_1","user_1"
42,"B","B","2019-07-23","In","yes",42,2,"2019-02-13","2019-02-13","user_1","user_1"
43,"C","C","2020-04-08","In","yes",43,3,"2019-08-12","2019-08-12","user_1","user_1"
44,"D","D","2020-12-24","In","yes",44,4,"2020-02-08","2020-02-08","user_1","user_1"
45,"E","E","2021-09-10","In","yes",45,5,"2020-08-06","2020-08-06","user_1","user_1"
46,"F","F","2018-11-05","In","yes",46,1,"2018-08-17","2018-08-17","user_1","user_1"
47,"G","G","2019-07-23","In","yes",47,2,"2019-02-13","2019-02-13","user_1","user_1"
48,"H","H","2020-04-08","In","yes",48,3,"2019-08-12","2019-08-12","user_1","user_1"
49,"I","I","2020-12-24","In","yes",49,4,"2020-02-08","2020-02-08","user_1","user_1"
50,"J","J","2021-09-10","In","yes",50,5,"2020-08-06","2020-08-06","user_1","user_1"
51,"K","K","2018-11-05","In","yes",51,1,"2018-08-17","2018-08-17","user_1","user_1"
52,"L","L","2019-07-23","In","yes",52,2,"2019-02-13","2019-02-13","user_1","user_1"
53,"M","M","2020-04-08","In","yes",53,3,"2019-08-12","2019-08-12","user_1","user_1"
54,"N","N","2020-12-24","In","yes",54,4,"2020-02-08","2020-02-08","user_1","user_1"
55,"O","O","2021-09-10","In","yes",55,5,"2020-08-06","2020-08-06","user_1","user_1"
56,"P","P","2018-11-05","In","yes",56,1,"2018-08-17","2018-08-17","user_1","user_1"
57,"Q","Q","2019-07-23","In","yes",57,2,"2019-02-13","2019-02-13","user_1","user_1"
58,"R","R","2020-04-08","In","yes",58,3,"2019-08-12","2019-08-12","user_1","user_1"
59,"S","S","2020-12-24","In","yes",59,4,"2020-02-08","2020-02-08","user_1","user_1"
60,"T","T","2021-09-10","In","yes",60,5,"2020-08-06","2020-08-06","user_1","user_1"
61,"A","A","2018-11-05","In","yes",61,1,"2018-08-17","2018-08-17","user_1","user_1"
62,"B","B","2019-07-23","In","yes",62,2,"2019-02-13","2019-02-13","user_1","user_1"
63,"C","C","2020-04-08","In","yes",63,3,"2019-08-12","2019-08-12","user_1","user_1"
64,"D","D","2020-12-24","In","yes",64,4,"2020-02-08","2020-02-08","user_1","user_1"
65,"E","E","2021-09-10","In","yes",65,5,"2020-08-06","2020-08-06","user_1","user_1"
66,"F","F","2018-11-05","In","yes",66,1,"2018-08-17","2018-08-17","user_1","user_1"
